,State Names,2014 BIRTHS,2015 BIRTHS,2016 BIRTHS,2017 BIRTHS,2018 BIRTHS,2019 BIRTHS,2020 BIRTHS,2021 BIRTHS
0,Alabama,59422,59657,59151,58941,57761,58615,57647,58054
1,Alaska,11392,11282,11209,10445,10086,9822,9469,9367
2,Arizona,86887,85351,84520,81872,80723,79375,76947,77916
3,Arkansas,38511,38886,38274,37520,37018,36564,35251,35965
4,California,502879,491748,488827,471658,454920,446479,420259,420608
5,Colorado,65830,66581,66613,64382,62885,62869,61494,62949
6,Connecticut,36285,35746,36015,35221,34725,34258,33460,35670
7,Delaware,10972,11166,10992,10855,10621,10562,10392,10482
8,Florida,219991,224269,225022,223630,221542,220002,209671,216260
9,Georgia,130946,131404,130042,129243,126172,126371,122473,124073
10,Hawaii,18550,18420,18059,17517,16972,16797,15785,15620
11,Idaho,22876,22827,22482,22181,21403,22063,21533,22427
12,Illinois,158556,158116,154445,149390,144815,140128,133298,132189
13,Indiana,84080,84040,83091,82170,81646,80859,78616,79946
14,Iowa,39687,39482,39403,38430,37785,37649,36114,36835
15,Kansas,39223,39154,38053,36519,36261,35395,34376,34705
16,Kentucky,56170,55971,55449,54752,53922,53069,51668,52214
17,Louisiana,64497,64692,63178,61018,59615,58941,57328,57437
18,Maine,12698,12607,12705,12298,12311,11779,11539,12006
19,Maryland,73921,73616,73136,71641,71080,70178,68554,68285
20,Massachusetts,71908,71492,71317,70702,69109,69117,66428,69137
21,Michigan,114375,113312,113315,111426,110032,107886,104074,104980
22,Minnesota,69904,69834,69749,68595,67344,66027,63443,64425
23,Mississippi,38736,38394,37928,37357,37000,36636,35473,35156
24,Missouri,75360,75061,74705,73034,73269,72127,69285,69453
25,Montana,12432,12583,12282,11799,11513,11079,10791,11231
26,Nebraska,26794,26679,26589,25821,25488,24755,24291,24609
27,Nevada,35861,36298,36260,35756,35682,35072,33653,33686
28,New Hampshire,12302,12433,12267,12116,11995,11839,11791,12625
29,New Jersey,103305,103127,102647,101250,101223,99585,97954,101497
30,New Mexico,26052,25816,24692,23767,23039,22960,21903,21391
31,New York,238773,237274,234283,229737,226238,221539,209338,210742
32,North Carolina,120975,120843,120779,120125,118954,118725,116730,120466
33,North Dakota,11359,11314,11383,10737,10636,10454,10059,10112
34,Ohio,139467,139264,138085,136832,135134,134461,129191,129791
35,Oklahoma,53339,53122,52592,50214,49800,49143,47623,48410
36,Oregon,45556,45655,45535,43631,42188,41858,39820,40914
37,Pennsylvania,142268,141047,139409,137745,135673,134230,130693,132622
38,Rhode Island,10823,10993,10798,10638,10506,10175,10101,10464
39,South Carolina,57627,58139,57342,57029,56669,57038,55704,57185
40,South Dakota,12283,12336,12275,12134,11893,11449,10960,11369
41,Tennessee,81602,81685,80807,81016,80751,80450,78689,81717
42,Texas,399766,403618,398047,382050,378624,377599,368190,373594
43,Utah,51154,50778,50464,48585,47209,46826,45702,46712
44,Vermont,6130,5903,5756,5655,5432,5361,5133,5384
45,Virginia,103300,103303,102460,100391,99843,97429,94749,95825
46,Washington,88585,88990,90505,87562,86085,84895,83086,83911
47,West Virginia,20301,19805,19079,18675,18248,18136,17323,17198
48,Wisconsin,67161,67041,66615,64975,64098,63270,60594,61781
49,Wyoming,7696,7765,7386,6903,6562,6565,6128,6237
